Category: All categories

Week,The Kardashians: (United States)
2018-05-06,18
2018-05-13,16
2018-05-20,15
2018-05-27,19
2018-06-03,23
2018-06-10,25
2018-06-17,23
2018-06-24,21
2018-07-01,22
2018-07-08,27
2018-07-15,25
2018-07-22,22
2018-07-29,36
2018-08-05,80
2018-08-12,44
2018-08-19,33
2018-08-26,31
2018-09-02,26
2018-09-09,25
2018-09-16,24
2018-09-23,24
2018-09-30,24
2018-10-07,24
2018-10-14,22
2018-10-21,20
2018-10-28,31
2018-11-04,48
2018-11-11,33
2018-11-18,27
2018-11-25,24
2018-12-02,19
2018-12-09,22
2018-12-16,17
2018-12-23,18
2018-12-30,20
2019-01-06,17
2019-01-13,17
2019-01-20,15
2019-01-27,15
2019-02-03,15
2019-02-10,14
2019-02-17,29
2019-02-24,27
2019-03-03,23
2019-03-10,21
2019-03-17,19
2019-03-24,30
2019-03-31,55
2019-04-07,31
2019-04-14,34
2019-04-21,26
2019-04-28,23
2019-05-05,25
2019-05-12,24
2019-05-19,27
2019-05-26,33
2019-06-02,27
2019-06-09,26
2019-06-16,43
2019-06-23,61
2019-06-30,47
2019-07-07,21
2019-07-14,18
2019-07-21,15
2019-07-28,14
2019-08-04,16
2019-08-11,15
2019-08-18,15
2019-08-25,12
2019-09-01,15
2019-09-08,30
2019-09-15,26
2019-09-22,25
2019-09-29,24
2019-10-06,18
2019-10-13,21
2019-10-20,19
2019-10-27,18
2019-11-03,20
2019-11-10,20
2019-11-17,17
2019-11-24,16
2019-12-01,17
2019-12-08,21
2019-12-15,31
2019-12-22,20
2019-12-29,17
2020-01-05,15
2020-01-12,14
2020-01-19,14
2020-01-26,13
2020-02-02,11
2020-02-09,12
2020-02-16,13
2020-02-23,15
2020-03-01,12
2020-03-08,13
2020-03-15,16
2020-03-22,47
2020-03-29,56
2020-04-05,39
2020-04-12,30
2020-04-19,26
2020-04-26,29
2020-05-03,29
2020-05-10,28
2020-05-17,24
2020-05-24,23
2020-05-31,16
2020-06-07,15
2020-06-14,15
2020-06-21,17
2020-06-28,18
2020-07-05,18
2020-07-12,16
2020-07-19,20
2020-07-26,14
2020-08-02,14
2020-08-09,16
2020-08-16,15
2020-08-23,13
2020-08-30,14
2020-09-06,79
2020-09-13,36
2020-09-20,25
2020-09-27,20
2020-10-04,25
2020-10-11,27
2020-10-18,26
2020-10-25,23
2020-11-01,17
2020-11-08,20
2020-11-15,16
2020-11-22,16
2020-11-29,17
2020-12-06,18
2020-12-13,14
2020-12-20,15
2020-12-27,18
2021-01-03,18
2021-01-10,16
2021-01-17,16
2021-01-24,19
2021-01-31,18
2021-02-07,16
2021-02-14,20
2021-02-21,20
2021-02-28,20
2021-03-07,24
2021-03-14,39
2021-03-21,35
2021-03-28,32
2021-04-04,44
2021-04-11,38
2021-04-18,29
2021-04-25,24
2021-05-02,26
2021-05-09,21
2021-05-16,20
2021-05-23,18
2021-05-30,21
2021-06-06,37
2021-06-13,39
2021-06-20,43
2021-06-27,19
2021-07-04,16
2021-07-11,17
2021-07-18,15
2021-07-25,12
2021-08-01,12
2021-08-08,13
2021-08-15,14
2021-08-22,13
2021-08-29,14
2021-09-05,15
2021-09-12,18
2021-09-19,13
2021-09-26,13
2021-10-03,11
2021-10-10,13
2021-10-17,18
2021-10-24,13
2021-10-31,16
2021-11-07,16
2021-11-14,17
2021-11-21,15
2021-11-28,15
2021-12-05,15
2021-12-12,13
2021-12-19,16
2021-12-26,27
2022-01-02,37
2022-01-09,22
2022-01-16,20
2022-01-23,19
2022-01-30,19
2022-02-06,25
2022-02-13,22
2022-02-20,26
2022-02-27,19
2022-03-06,21
2022-03-13,36
2022-03-20,29
2022-03-27,26
2022-04-03,52
2022-04-10,100
2022-04-17,78
2022-04-24,47
2022-05-01,49
2022-05-08,39
2022-05-15,37
2022-05-22,39
2022-05-29,32
2022-06-05,34
2022-06-12,51
2022-06-19,46
2022-06-26,31
2022-07-03,23
2022-07-10,42
2022-07-17,27
2022-07-24,21
2022-07-31,21
2022-08-07,22
2022-08-14,16
2022-08-21,18
2022-08-28,18
2022-09-04,24
2022-09-11,23
2022-09-18,55
2022-09-25,36
2022-10-02,30
2022-10-09,24
2022-10-16,21
2022-10-23,21
2022-10-30,20
2022-11-06,25
2022-11-13,22
2022-11-20,24
2022-11-27,25
2022-12-04,19
2022-12-11,17
2022-12-18,20
2022-12-25,23
2023-01-01,19
2023-01-08,15
2023-01-15,15
2023-01-22,16
2023-01-29,15
2023-02-05,14
2023-02-12,13
2023-02-19,17
2023-02-26,13
2023-03-05,17
2023-03-12,20
2023-03-19,17
2023-03-26,15
2023-04-02,14
2023-04-09,19
2023-04-16,17
2023-04-23,21
2023-04-30,25
